,quality
0,bad
1,bad
2,bad
3,good
4,bad
5,bad
6,bad
7,good
8,good
9,bad
10,bad
11,bad
12,good
13,good
14,bad
15,bad
16,bad
17,good
18,bad
19,bad
20,bad
21,good
22,bad
23,bad
24,bad
25,good
26,good
27,good
28,bad
29,bad
30,good
31,bad
32,bad
33,bad
34,bad
35,good
36,good
37,bad
38,good
39,bad
40,bad
41,good
42,bad
43,bad
44,bad
45,bad
46,bad
47,bad
48,good
49,bad
50,bad
51,bad
52,good
53,bad
54,bad
55,bad
56,bad
57,good
58,bad
59,good
60,bad
61,bad
62,bad
63,bad
64,good
65,bad
66,bad
67,bad
68,bad
69,good
70,good
71,good
72,bad
73,bad
74,bad
75,bad
76,bad
77,bad
78,bad
79,good
80,bad
81,good
82,good
83,bad
84,good
85,bad
86,bad
87,bad
88,bad
89,good
90,bad
91,bad
92,good
93,bad
94,bad
95,bad
96,good
97,bad
98,good
99,bad
100,bad
101,good
102,good
103,bad
104,bad
105,bad
106,bad
107,bad
108,bad
109,bad
110,good
111,bad
112,bad
113,good
114,bad
115,bad
116,bad
117,bad
118,bad
119,good
120,bad
121,good
122,good
123,bad
124,bad
125,good
126,bad
127,bad
128,bad
129,bad
130,bad
131,bad
132,good
133,bad
134,bad
135,bad
136,bad
137,good
138,bad
139,bad
140,bad
141,good
142,bad
143,good
144,good
145,good
146,good
147,bad
148,good
149,good
150,bad
151,good
152,bad
153,bad
154,bad
155,bad
156,good
157,bad
158,bad
159,good
160,good
161,good
162,good
163,good
164,good
165,good
166,good
167,bad
168,good
169,good
170,good
171,good
172,good
173,bad
174,good
175,good
176,good
177,bad
178,bad
179,bad
180,bad
181,bad
182,bad
183,good
184,bad
185,bad
186,bad
187,bad
188,bad
189,bad
190,good
191,good
192,good
193,good
194,good
195,good
196,good
197,good
198,good
199,good
200,good
201,good
202,bad
203,bad
204,good
205,good
206,good
207,bad
208,good
209,good
210,good
211,good
212,bad
213,bad
214,bad
215,bad
216,good
217,good
218,bad
219,bad
220,bad
221,good
222,good
223,good
224,good
225,bad
226,bad
227,good
228,good
229,bad
230,good
231,good
232,good
233,bad
234,good
235,bad
236,good
237,good
238,good
239,bad
240,good
241,good
242,good
243,good
244,good
245,good
246,good
247,bad
248,bad
249,good
250,good
251,bad
252,good
253,good
254,good
255,bad
256,good
257,bad
258,bad
259,good
260,good
261,bad
262,good
263,good
264,good
265,good
266,good
267,good
268,good
269,bad
270,good
271,good
272,good
273,bad
274,good
275,bad
276,good
277,bad
278,bad
279,good
280,good
281,bad
282,good
283,good
284,bad
285,good
286,bad
287,good
288,bad
289,bad
290,good
291,bad
292,good
293,bad
294,good
295,bad
296,good
297,good
298,good
299,good
300,bad
301,good
302,good
303,bad
304,bad
305,good
306,bad
307,good
308,good
309,bad
310,good
311,good
312,good
313,bad
314,bad
315,good
316,good
317,good
318,good
319,good
320,bad
321,good
322,bad
323,bad
324,bad
325,good
326,bad
327,good
328,good
329,good
330,good
331,bad
332,bad
333,good
334,good
335,bad
336,bad
337,good
338,good
339,bad
340,good
341,bad
342,bad
343,good
344,good
345,good
346,good
347,good
348,good
349,good
350,good
351,bad
352,good
353,good
354,good
355,good
356,good
357,good
358,good
359,good
360,good
361,good
362,good
363,good
364,good
365,good
366,bad
367,good
368,bad
369,good
370,bad
371,bad
372,good
373,bad
374,good
375,bad
376,bad
377,good
378,good
379,good
380,bad
381,good
382,good
383,bad
384,bad
385,good
386,bad
387,good
388,good
389,bad
390,good
391,good
392,good
393,good
394,good
395,good
396,bad
397,bad
398,good
399,bad
400,good
401,bad
402,bad
403,good
404,good
405,bad
406,good
407,good
408,good
409,good
410,bad
411,bad
412,bad
413,bad
414,good
415,bad
416,bad
417,good
418,bad
419,good
420,bad
421,good
422,bad
423,bad
424,bad
425,good
426,good
427,bad
428,good
429,good
430,good
431,good
432,bad
433,bad
434,good
435,bad
436,good
437,bad
438,bad
439,bad
440,bad
441,bad
442,bad
443,bad
444,good
445,bad
446,good
447,bad
448,good
449,bad
450,bad
451,bad
452,bad
453,bad
454,good
455,bad
456,bad
457,bad
458,bad
459,good
460,good
461,bad
462,bad
463,good
464,bad
465,bad
466,bad
467,good
468,good
469,good
470,bad
471,good
472,bad
473,good
474,good
475,good
476,bad
477,bad
478,good
479,bad
480,bad
481,bad
482,good
483,bad
484,bad
485,bad
486,bad
487,bad
488,bad
489,bad
490,bad
491,bad
492,bad
493,good
494,good
495,bad
496,good
497,good
498,good
499,good
500,bad
501,bad
502,bad
503,bad
504,bad
505,good
506,bad
507,bad
508,bad
509,bad
510,bad
511,bad
512,bad
513,bad
514,bad
515,bad
516,good
517,bad
518,bad
519,good
520,bad
521,bad
522,bad
523,bad
524,bad
525,bad
526,good
527,bad
528,good
529,bad
530,bad
531,good
532,good
533,good
534,good
535,bad
536,bad
537,bad
538,good
539,good
540,good
541,bad
542,bad
543,bad
544,bad
545,bad
546,good
547,good
548,good
549,bad
550,good
551,bad
552,good
553,bad
554,bad
555,good
556,bad
557,good
558,bad
559,bad
560,good
561,bad
562,bad
563,bad
564,good
565,good
566,bad
567,good
568,bad
569,good
570,bad
571,good
572,bad
573,bad
574,good
575,good
576,bad
577,good
578,good
579,good
580,good
581,bad
582,good
583,bad
584,good
585,bad
586,good
587,bad
588,bad
589,good
590,bad
591,bad
592,good
593,bad
594,bad
595,good
596,bad
597,good
598,good
599,good
600,bad
601,good
602,bad
603,bad
604,good
605,bad
606,bad
607,bad
608,good
609,good
610,good
611,good
612,good
613,bad
614,bad
615,bad
616,bad
617,bad
618,bad
619,good
620,good
621,good
622,good
623,good
624,bad
625,good
626,good
627,bad
628,bad
629,good
630,bad
631,good
632,good
633,good
634,good
635,good
636,bad
637,good
638,good
639,good
640,bad
641,good
642,good
643,good
644,good
645,good
646,good
647,bad
648,good
649,good
650,good
651,bad
652,good
653,bad
654,good
655,good
656,bad
657,bad
658,good
659,bad
660,good
661,bad
662,good
663,bad
664,good
665,good
666,good
667,good
668,good
669,good
670,good
671,good
672,good
673,good
674,bad
675,good
676,good
677,good
678,bad
679,bad
680,good
681,bad
682,good
683,good
684,good
685,bad
686,bad
687,good
688,good
689,bad
690,good
691,good
692,good
693,bad
694,bad
695,good
696,bad
697,bad
698,bad
699,good
700,good
701,good
702,good
703,bad
704,good
705,good
706,good
707,good
708,good
709,good
710,bad
711,good
712,good
713,good
714,good
715,bad
716,good
717,good
718,bad
719,good
720,good
721,good
722,good
723,bad
724,good
725,bad
726,good
727,good
728,good
729,good
730,good
731,good
732,good
733,good
734,good
735,bad
736,good
737,good
738,bad
739,bad
740,good
741,good
742,good
743,bad
744,good
745,good
746,good
747,good
748,good
749,good
750,good
751,good
752,good
753,good
754,bad
755,good
756,bad
757,good
758,good
759,bad
760,good
761,good
762,good
763,good
764,bad
765,good
766,good
767,good
768,good
769,good
770,good
771,good
772,good
773,good
774,good
775,bad
776,good
777,good
778,good
779,good
780,bad
781,good
782,bad
783,good
784,good
785,good
786,good
787,good
788,good
789,good
790,good
791,good
792,bad
793,good
794,good
795,good
796,good
797,bad
798,good
799,good
800,good
801,good
802,good
803,good
804,bad
805,good
806,good
807,good
808,good
809,good
810,bad
811,good
812,good
813,good
814,good
815,good
816,good
817,bad
818,good
819,bad
820,good
821,good
822,good
823,bad
824,good
825,good
826,good
827,good
828,good
829,good
830,good
831,good
832,bad
833,bad
834,good
835,bad
836,bad
837,bad
838,bad
839,bad
840,good
841,bad
842,good
843,good
844,good
845,good
846,good
847,good
848,good
849,good
850,good
851,bad
852,good
853,good
854,bad
855,good
856,good
857,good
858,good
859,good
860,good
861,good
862,good
863,good
864,good
865,bad
866,bad
867,bad
868,good
869,bad
870,good
871,bad
872,bad
873,good
874,good
875,good
876,bad
877,bad
878,bad
879,bad
880,bad
881,bad
882,good
883,bad
884,bad
885,bad
886,bad
887,bad
888,good
889,good
890,bad
891,bad
892,bad
893,good
894,good
895,good
896,good
897,good
898,good
899,good
900,bad
901,bad
902,good
903,good
904,bad
905,good
906,good
907,good
908,good
909,good
910,good
912,bad
913,bad
914,bad
915,bad
916,bad
919,bad
922,bad
926,bad
927,bad
928,bad
929,bad
931,bad
936,bad
941,bad
944,bad
946,bad
947,bad
949,bad
950,bad
951,bad
956,bad
958,bad
959,bad
961,bad
962,bad
963,bad
965,bad
967,bad
970,bad
973,bad
975,bad
976,bad
980,bad
981,bad
982,bad
983,bad
984,bad
985,bad
987,bad
988,bad
989,bad
991,bad
992,bad
994,bad
996,good
1000,good
1005,bad
1006,bad
1007,bad
1008,bad
1009,good
1010,bad
1011,bad
1012,bad
1013,bad
1015,bad
1016,bad
1017,bad
1018,bad
1019,bad
1021,good
1023,bad
1024,bad
1025,bad
1027,bad
1029,bad
1030,good
1031,good
1032,good
1033,good
1036,bad
1037,bad
1038,good
1040,bad
1042,bad
1043,good
1044,bad
1045,good
1046,bad
1047,bad
1048,bad
1050,bad
1051,bad
1052,good
1053,bad
1054,good
1055,bad
1056,bad
1057,bad
1058,bad
1059,bad
1060,bad
1061,bad
1062,bad
1063,bad
1065,bad
1066,bad
1067,good
1071,bad
1074,bad
1078,bad
1080,bad
1084,bad
1085,bad
1086,bad
1087,bad
1088,bad
1093,bad
1095,bad
1096,good
1098,bad
1100,good
1102,bad
1103,bad
1104,good
1105,bad
1107,bad
1108,good
1109,bad
1111,bad
1112,bad
1113,bad
1114,bad
1115,bad
1116,bad
1119,bad
1120,bad
1124,bad
1131,bad
1132,bad
1133,good
1140,bad
1142,bad
